ticker,company_name,sector,industry,market_type,exchange,price,market_cap,pe_ratio,peg_ratio,pb_ratio,ps_ratio,dividend_yield,beta,profit_margin,operating_margin,roa,roe,ev_to_ebitda,debt_to_equity,current_ratio,revenue_growth_3yr,earnings_growth_3yr,shares_outstanding,avg_return_1yr,volatility_1yr,sharpe_ratio,max_drawdown,esg_score
AAPL,AAPL Energy,Materials,Containers & Packaging,Large Cap,NASDAQ,78.56,380.1387259792,38.88,5.0,7.37,6.14,4.75,1.018967030120395,9.69,11.05,2.6,14.26,21.24,0.39,2.07,2.34,4.05,4838833070,-2.42,14.64,-0.3,-22.05,32.18
MSFT,MSFT Group,Materials,Steel,Large Cap,NASDAQ,341.71,2127.7184192404898,39.33,5.0,6.46,4.33,2.65,0.8948177971557122,7.58,10.59,3.64,10.89,23.34,1.18,2.12,8.05,5.15,6226678819,-4.26,9.57,-0.65,-19.49,41.01
GOOG,GOOG Solutions,Healthcare,Biotechnology,Large Cap,NYSE,305.45,1334.0933746155,27.51,2.57,3.68,8.59,0.83,0.8219756350867105,-29.94,-47.24,-11.53,-49.83,25.22,1.43,1.61,11.46,10.7,4367632590,3.91,12.35,0.15,-33.05,73.68
GOOGL,GOOGL Technologies,Consumer Defensive,Tobacco,Large Cap,NASDAQ,497.78,1252.38528570078,-20.21,,7.18,6.19,2.72,0.924018322441214,10.96,8.46,5.26,25.53,7.99,0.67,2.2,-11.01,-8.53,2515941351,-1.57,17.53,-0.2,-26.88,42.01
AMZN,AMZN Energy,Financial Services,Banks,Large Cap,NASDAQ,111.31,238.92525002502,31.51,2.97,2.8,3.9,1.86,0.9628470164318511,10.53,18.28,3.5,13.46,8.8,2.48,1.32,9.94,10.61,2146485042,5.78,14.4,0.26,-30.28,73.12
META,META Solutions,Industrial,Electrical Equipment,Large Cap,NASDAQ,179.77,1276.9257061043802,27.16,5.0,2.53,3.49,2.68,0.5041274200503686,22.64,27.65,6.03,46.21,14.51,0.93,2.43,5.07,2.34,7103107894,-3.08,9.76,-0.52,-21.47,57.04
NVDA,NVDA Energy,Financial Services,Asset Management,Large Cap,NYSE,484.37,1604.78176912102,29.98,,1.55,1.21,4.72,0.8169037339243472,13.55,10.83,4.83,21.65,19.03,2.6,1.99,-5.24,-2.86,3313132046,-2.82,9.86,-0.49,-22.63,65.88
INTC,INTC Holdings,Financial Services,Consumer Finance,Large Cap,NYSE,81.31,314.16566914851,34.28,5.0,1.57,7.36,4.65,1.3937445336665018,12.51,17.69,4.48,19.13,9.68,1.05,0.96,4.26,2.66,3863801121,-7.81,21.61,-0.45,-49.77,46.49
CSCO,CSCO Group,Technology,Internet,Large Cap,NYSE,214.92,868.1321036055599,92.48,4.62,3.48,2.79,0.0,2.1711795862187504,19.44,22.24,10.26,22.07,15.72,0.62,2.3,20.53,20.0,4039326743,1.37,36.94,-0.02,-71.41,70.72
ADBE,ADBE Brands,Technology,Internet,Large Cap,NYSE,689.56,3966.9126794594395,32.87,1.8,4.81,7.72,0.0,1.8575587012257524,12.25,14.15,6.6,21.77,6.14,1.15,0.87,15.73,18.29,5752817274,18.92,28.87,0.59,-48.25,81.85
CRM,CRM Energy,Technology,Software,Large Cap,NYSE,642.2,7143.0940445878,20.2,1.77,4.07,7.17,1.08,1.9382265476102192,11.66,11.58,4.43,14.54,23.63,1.28,1.69,13.26,11.39,11122849649,27.78,23.51,1.1,-67.18,68.33
ORCL,ORCL Solutions,Industrial,Electrical Equipment,Large Cap,NYSE,245.45,1993.9020812945,33.11,2.95,6.37,10.63,1.54,0.9128371169108481,19.67,20.49,8.13,44.25,12.27,1.3,2.29,9.61,11.21,8123455210,23.39,14.53,1.47,-23.42,61.74
IBM,IBM Technologies,Technology,Cybersecurity,Large Cap,NASDAQ,272.63,2934.9321598586403,27.11,2.38,1.42,1.18,0.0,1.245933710268265,12.44,11.61,3.11,25.03,17.22,0.41,0.85,11.66,11.4,10765257528,20.3,16.86,1.09,-46.89,83.01
AMD,AMD Corp.,Healthcare,Medical Devices,Large Cap,NASDAQ,128.29,1738.6543760795298,76.0,2.37,5.19,2.09,0.0,1.0111849523099787,32.58,33.76,9.21,39.73,19.3,0.57,2.15,33.29,32.02,13552532357,4.94,19.05,0.15,-35.8,80.61
TSM,TSM Energy,Consumer Defensive,Discount Stores,Large Cap,NYSE,208.57,1261.48262942598,31.13,,6.0,8.55,3.54,0.8723625471600568,15.7,21.67,4.42,24.95,19.05,0.34,0.82,-6.01,-4.81,6048245814,4.64,9.92,0.27,-22.69,68.81
JPM,JPM Energy,Consumer Defensive,Household Products,Large Cap,NASDAQ,290.34,1618.3801945664998,73.47,2.86,8.6,9.28,4.01,0.6324559713604819,21.25,21.03,12.49,23.63,11.55,1.46,1.48,27.34,25.67,5574086225,-3.32,11.67,-0.46,-28.66,50.71
BAC,BAC Inc.,Technology,Software,Large Cap,NYSE,543.12,5947.38938828256,41.58,,1.15,1.25,1.75,1.2585813589027595,34.68,34.27,17.19,35.84,14.93,0.38,1.88,-2.52,-0.34,10950414988,22.57,15.16,1.36,-30.85,69.38
GS,GS Group,Energy,Coal,Large Cap,NYSE,112.53,578.99659246671,46.32,1.84,3.57,7.2,3.32,0.9792536143752525,16.89,22.83,7.07,24.53,27.39,0.89,0.86,25.17,25.12,5145264307,-12.5,10.4,-1.39,-21.63,46.23
V,V Energy,Healthcare,Biotechnology,Large Cap,NASDAQ,37.39,238.32117192073002,51.8,3.16,6.79,10.37,0.0,0.9179567979056209,11.64,13.18,6.8,19.35,11.55,0.16,1.03,13.54,16.37,6373928107,13.57,16.67,0.69,-29.36,84.67
MA,MA Brands,Technology,Hardware,Large Cap,NYSE,390.69,3891.1692461192997,,,3.7,1.8,0.0,1.8000423795215694,16.35,14.38,6.2,40.4,12.82,1.22,3.37,36.17,36.17,9959735970,10.67,21.82,0.4,-57.55,54.78
BRK.B,BRK.B Brands,Technology,Cybersecurity,Large Cap,NYSE,286.57,753.4957522274299,94.66,3.0,9.68,10.0,0.0,1.709023350933416,40.48,39.41,23.04,82.72,14.69,0.79,2.99,31.77,31.6,2629360199,-10.35,21.11,-0.59,-48.79,84.88
C,C Holdings,Utilities,Multi-Utilities,Large Cap,NYSE,45.57,163.98775732794,35.35,5.0,7.3,6.64,3.77,0.827974748201861,14.48,17.91,7.41,19.77,15.95,1.34,1.94,3.15,4.92,3598590242,-1.3,12.97,-0.25,-27.16,85.63
MS,MS Technologies,Consumer Defensive,Consumer Packaged Goods,Large Cap,NYSE,31.0,103.000790433,10.84,1.21,4.97,8.95,2.96,0.46761890943294393,16.85,16.75,8.06,33.98,17.89,0.89,1.63,7.84,8.95,3322606143,-0.78,8.0,-0.35,-22.69,42.53
AXP,AXP Pharmaceuticals,Financial Services,Asset Management,Large Cap,NYSE,186.14,174.89036906241998,22.84,,4.27,5.26,4.13,1.5216526325036241,24.19,31.33,6.17,45.42,12.72,2.1,1.17,-1.25,-1.81,939563603,8.84,23.73,0.29,-51.83,53.9
BLK,BLK Holdings,Healthcare,Medical Devices,Large Cap,NYSE,106.88,293.23138177920003,24.28,2.73,7.81,10.65,0.0,1.2379033322987971,34.15,37.94,11.26,80.56,19.68,0.63,3.15,8.03,8.9,2743557090,28.01,15.78,1.65,-45.35,70.65
