user_id,ticker,weight,interaction_type,interaction_count
user_1,AZT,,research,1.0
user_1,CIFOT,,watchlist,10.0
user_1,NEE,,watchlist,7.0
user_1,CCI,,view,1.0
user_1,WDCGR,,view,5.0
user_1,LNZNM,,comparison,6.0
user_1,LQUQ,,comparison,4.0
user_1,BWQPT,,research,10.0
user_1,GILGT,,watchlist,4.0
user_1,JFXRU,,watchlist,5.0
user_1,HUCX,,watchlist,8.0
user_1,GWDGO,,research,4.0
user_1,EUHLT,,research,3.0
user_1,EOG,,view,8.0
user_1,LSMI,,watchlist,1.0
user_2,TJEQ,,comparison,10.0
user_2,NEE,,view,1.0
user_2,QIKM,,research,8.0
user_2,PSA,,view,10.0
user_2,LONVM,,research,7.0
user_2,OAXTO,,view,4.0
user_2,UMNGI,,watchlist,3.0
user_2,EYKZX,,research,9.0
user_2,CPH,,view,4.0
user_2,RKDC,,view,10.0
user_2,NKO,,view,8.0
user_2,KMM,,view,10.0
user_2,MMD,,research,1.0
user_2,EOG,,research,2.0
user_2,LZJ,,view,3.0
user_3,RODJ,,watchlist,7.0
user_3,AUKQ,,comparison,9.0
user_3,VSXR,,watchlist,9.0
user_3,RAZS,,view,5.0
user_3,LLKR,,watchlist,7.0
user_3,EBAY,,comparison,1.0
user_3,CMI,,view,1.0
user_3,GE,,research,2.0
user_3,VPLA,,view,3.0
user_3,UPS,,watchlist,8.0
user_3,KVS,,view,9.0
user_3,ZEJW,,research,3.0
user_3,ETN,,view,8.0
user_3,CIFOT,,research,7.0
user_3,YFDI,,research,2.0
user_4,MXM,,comparison,3.0
user_4,LFJE,,research,8.0
user_4,YCWTU,,watchlist,6.0
user_4,JIP,,research,6.0
user_4,PMBRI,,view,5.0
user_4,LLKR,,watchlist,6.0
user_4,VUP,,research,9.0
user_4,MIP,,comparison,4.0
user_4,CSHNF,,comparison,1.0
user_4,HFX,,research,6.0
user_4,RAPE,,view,1.0
user_4,JIJF,,watchlist,2.0
user_4,ANYY,,comparison,2.0
user_4,AGLQG,,comparison,3.0
user_4,DWWFF,,comparison,9.0
user_5,CORFD,,comparison,1.0
user_5,COST,,view,9.0
user_5,DIS,,comparison,1.0
user_5,ESS,,view,2.0
user_5,LPJR,,watchlist,3.0
user_5,WMDA,,research,10.0
user_5,OYD,,comparison,2.0
user_5,TAGV,,comparison,5.0
user_5,SOHCE,,research,4.0
user_5,HDDYQ,,comparison,10.0
user_5,RXSUR,,comparison,3.0
user_5,BBTAF,,watchlist,2.0
user_5,CJNLC,,comparison,6.0
user_5,TZOTC,,comparison,5.0
user_5,EOG,,view,1.0
user_6,PSX,,view,5.0
user_6,TNVBK,,watchlist,10.0
user_6,TJEQ,,comparison,6.0
user_6,WFQHQ,,research,7.0
user_6,XQQD,,research,8.0
user_6,HDHYU,,view,7.0
user_6,WLMSS,,watchlist,1.0
user_6,HFP,,watchlist,5.0
user_6,SHW,,view,3.0
user_6,STOX,,comparison,1.0
user_6,OAXTO,,research,5.0
user_6,DD,,research,4.0
user_6,OIHAM,,research,2.0
user_6,CSCO,,research,1.0
user_6,SOGAG,,research,6.0
user_7,YTCV,,view,2.0
user_7,VUOA,,research,7.0
user_7,GQEXA,,research,7.0
user_7,KPHEB,,comparison,5.0
user_7,HTFM,,research,8.0
user_7,EOB,,watchlist,4.0
user_7,IGHI,,watchlist,6.0
user_7,KQC,,watchlist,7.0
user_7,BWQPT,,research,2.0
user_7,DE,,research,2.0
user_7,DD,,comparison,4.0
user_7,CHTR,,view,9.0
user_7,WMT,,comparison,2.0
user_7,GWDGO,,comparison,8.0
user_7,ELVXP,,view,3.0
user_8,CORFD,,research,2.0
user_8,TJEQ,,comparison,2.0
user_8,AAPL,,watchlist,6.0
user_8,XQQD,,watchlist,3.0
user_8,JCIL,,watchlist,1.0
user_8,KPHEB,,watchlist,5.0
user_8,IFT,,view,2.0
user_8,PEP,,research,10.0
user_8,BWQPT,,research,10.0
user_8,PEKAE,,comparison,5.0
user_8,ZMR,,watchlist,9.0
user_8,XEL,,comparison,6.0
user_8,GBL,,comparison,9.0
user_8,AAEAG,,watchlist,3.0
user_8,GBRVP,,comparison,8.0
user_9,KOCX,,watchlist,2.0
user_9,WFEVL,,watchlist,8.0
user_9,LFJE,,watchlist,4.0
user_9,CJIN,,research,3.0
user_9,NVDA,,comparison,6.0
user_9,LLKR,,research,10.0
user_9,NUE,,watchlist,5.0
user_9,DOW,,view,4.0
user_9,JTH,,comparison,4.0
user_9,MYM,,comparison,9.0
user_9,FGL,,watchlist,5.0
user_9,GVIJI,,watchlist,5.0
user_9,WLU,,comparison,9.0
user_9,CPH,,comparison,10.0
user_9,LMT,,view,8.0
user_10,NEM,,comparison,8.0
user_10,OXY,,comparison,8.0
user_10,COF,,comparison,9.0
user_10,LIN,,research,4.0
user_10,C,,watchlist,1.0
user_10,VPM,,comparison,8.0
user_10,SUMTB,,research,7.0
user_10,QIKM,,view,10.0
user_10,IHV,,comparison,5.0
user_10,QJRD,,comparison,4.0
user_10,DD,,comparison,6.0
user_10,JFXRU,,comparison,1.0
user_10,LNZNM,,research,2.0
user_10,EZH,,comparison,2.0
user_10,APD,,comparison,7.0
user_11,PUSUX,,comparison,9.0
user_11,JPKQX,,comparison,4.0
user_11,NWFF,,comparison,9.0
user_11,EA,,watchlist,10.0
