user_id,ticker,weight,interaction_type,interaction_count
user_1,PEEEF,0.0784,,
user_1,ONMX,0.0765,,
user_1,GECO,0.1002,,
user_1,TGF,0.1424,,
user_1,TBN,0.2157,,
user_1,IHY,0.0121,,
user_1,EOG,0.0119,,
user_1,MRK,0.0113,,
user_1,EQIX,0.2087,,
user_1,JPF,0.0396,,
user_1,GHPVN,0.1032,,
user_2,MARWY,0.1674,,
user_2,XET,0.2377,,
user_2,BEVHX,0.3579,,
user_2,NQZQY,0.2021,,
user_2,DJMC,0.0349,,
user_3,ETN,0.0953,,
user_3,EBAY,0.2397,,
user_3,TBW,0.0799,,
user_3,PPG,0.2644,,
user_3,MHL,0.0959,,
user_3,ZBIP,0.1231,,
user_3,GTR,0.0419,,
user_3,JDIHD,0.0598,,
user_4,SUNXI,0.0416,,
user_4,YAN,0.0704,,
user_4,JMSVD,0.0562,,
user_4,TXHSD,0.0473,,
user_4,JDQBO,0.1332,,
user_4,YAU,0.002,,
user_4,YTHAJ,0.0988,,
user_4,WMPBW,0.0248,,
user_4,NYAH,0.0088,,
user_4,FRCOT,0.0051,,
user_4,AKNDY,0.1746,,
user_4,ZVTFS,0.1384,,
user_4,GS,0.1987,,
user_5,RPPC,0.0353,,
user_5,UVGBX,0.0271,,
user_5,OCISK,0.043,,
user_5,LZVTK,0.0154,,
user_5,NUPAK,0.0144,,
user_5,NWCX,0.2434,,
user_5,DAZPX,0.2946,,
user_5,EA,0.0882,,
user_5,CNK,0.0054,,
user_5,XEL,0.0057,,
user_5,QUY,0.1186,,
user_5,XUQN,0.1041,,
user_5,QHDMR,0.0049,,
user_6,WEKSJ,0.3759,,
user_6,CGS,0.1016,,
user_6,SPM,0.2805,,
user_6,XIL,0.0533,,
user_6,OIWV,0.1886,,
user_7,GVNAG,0.3339,,
user_7,JDIHD,0.0037,,
user_7,MYG,0.4027,,
user_7,EPC,0.0201,,
user_7,GHPVN,0.0391,,
user_7,SON,0.0007,,
user_7,OOMB,0.1488,,
